Generation	Treatment	Rep	Stage.x	Number.x	Length.x	Weight.x	Stage.y	Number.y	Length.y	Weight.y	weight.diff	Beak	Dev.diff	Growth.Rate
0	1	1	C6F	2	0.725	3.852404241	C1	1	0.325	0.367314562	3.485089679	3	10.49671053	0.332017318
0	1	1	C6F	2	0.725	3.852404241	C1	10	0.272	0.208319416	3.644084825	1	9.920168067	0.367341037
0	1	1	C6F	2	0.725	3.852404241	C1	10	0.272	0.208319416	3.644084825	2	9.5	0.383587876
0	1	1	C6F	2	0.725	3.852404241	C1	10	0.272	0.208319416	3.644084825	3	10.49671053	0.347164458
0	1	1	C6F	2	0.725	3.852404241	C1	11	0.329	0.381911579	3.470492662	1	9.920168067	0.349842123
0	1	1	C6F	2	0.725	3.852404241	C1	11	0.329	0.381911579	3.470492662	2	9.5	0.365315017
0	1	1	C6F	2	0.725	3.852404241	C1	11	0.329	0.381911579	3.470492662	3	10.49671053	0.33062669
0	1	1	C6F	2	0.725	3.852404241	C1	2	0.352	0.473648048	3.378756193	1	9.920168067	0.340594652
0	1	1	C6F	2	0.725	3.852404241	C1	2	0.352	0.473648048	3.378756193	2	9.5	0.355658547
0	1	1	C6F	2	0.725	3.852404241	C1	2	0.352	0.473648048	3.378756193	3	10.49671053	0.321887146
0	1	1	C6F	2	0.725	3.852404241	C1	3	0.381	0.609524156	3.242880085	1	9.920168067	0.326897696
0	1	1	C6F	2	0.725	3.852404241	C1	3	0.381	0.609524156	3.242880085	2	9.5	0.341355798
0	1	1	C6F	2	0.725	3.852404241	C1	3	0.381	0.609524156	3.242880085	3	10.49671053	0.308942509
0	1	1	C6F	2	0.725	3.852404241	C1	4	0.295	0.26979824	3.582606001	1	9.920168067	0.36114368
0	1	1	C6F	2	0.725	3.852404241	C1	4	0.295	0.26979824	3.582606001	2	9.5	0.377116421
0	1	1	C6F	2	0.725	3.852404241	C1	4	0.295	0.26979824	3.582606001	3	10.49671053	0.341307497
0	1	1	C6F	2	0.725	3.852404241	C1	5	0.264	0.18942004	3.662984201	1	9.920168067	0.369246184
0	1	1	C6F	2	0.725	3.852404241	C1	5	0.264	0.18942004	3.662984201	2	9.5	0.385577284
0	1	1	C6F	2	0.725	3.852404241	C1	5	0.264	0.18942004	3.662984201	3	10.49671053	0.348964963
0	1	1	C6F	2	0.725	3.852404241	C1	6	0.293	0.264014026	3.588390215	1	9.920168067	0.361726756
0	1	1	C6F	2	0.725	3.852404241	C1	6	0.293	0.264014026	3.588390215	2	9.5	0.377725286
0	1	1	C6F	2	0.725	3.852404241	C1	6	0.293	0.264014026	3.588390215	3	10.49671053	0.341858547
0	1	1	C6F	2	0.725	3.852404241	C1	7	0.277	0.220765997	3.631638244	1	9.920168067	0.366086363
0	1	1	C6F	2	0.725	3.852404241	C1	7	0.277	0.220765997	3.631638244	2	9.5	0.38227771
0	1	1	C6F	2	0.725	3.852404241	C1	7	0.277	0.220765997	3.631638244	3	10.49671053	0.345978698
0	1	1	C6F	2	0.725	3.852404241	C1	8	0.33	0.385622036	3.466782204	1	9.920168067	0.349468092
